type,size,duration,sorted
parallel,84000,0.0079999,true
sequential,85000,0.013,true
parallel,85000,0.0119998,true
sequential,86000,0.013,true
parallel,86000,0.00699997,true
sequential,87000,0.0150001,true
parallel,87000,0.00800014,true
sequential,88000,0.0150001,true
parallel,88000,0.00999999,true
sequential,89000,0.0150001,true
parallel,89000,0.00699997,true
sequential,90000,0.0139999,true
parallel,90000,0.00600004,true
sequential,91000,0.0150001,true
parallel,91000,0.00699997,true
sequential,92000,0.0140002,true
parallel,92000,0.00600004,true
sequential,93000,0.0150001,true
parallel,93000,0.00699997,true
sequential,94000,0.0150001,true
parallel,94000,0.00699997,true
sequential,95000,0.0159998,true
parallel,95000,0.0059998,true
sequential,96000,0.016,true
parallel,96000,0.00800014,true
sequential,97000,0.0159998,true
parallel,97000,0.00900006,true
sequential,98000,0.016,true
parallel,98000,0.0079999,true
sequential,99000,0.016,true
parallel,99000,0.00699997,true
sequential,100000,0.016,true
parallel,100000,0.00800014,true
sequential,110000,0.0270002,true
parallel,110000,0.023,true
sequential,120000,0.0209999,true
parallel,120000,0.0079999,true
sequential,130000,0.0219998,true
parallel,130000,0.00900006,true
sequential,140000,0.0249999,true
parallel,140000,0.00999999,true
sequential,150000,0.0289998,true
parallel,150000,0.0120001,true
sequential,160000,0.0309999,true
parallel,160000,0.0139999,true
sequential,170000,0.033,true
parallel,170000,0.016,true
sequential,180000,0.0369999,true
parallel,180000,0.0149999,true
sequential,190000,0.0400002,true
parallel,190000,0.017,true
sequential,200000,0.0440001,true
parallel,200000,0.016,true
sequential,210000,0.046,true
parallel,210000,0.02,true
sequential,220000,0.0509999,true
parallel,220000,0.0219998,true
sequential,230000,0.053,true
parallel,230000,0.023,true
sequential,240000,0.0579998,true
parallel,240000,0.026,true
sequential,250000,0.0610001,true
parallel,250000,0.0400002,true
sequential,260000,0.0669999,true
parallel,260000,0.026,true
sequential,270000,0.0680001,true
parallel,270000,0.0270002,true
sequential,280000,0.073,true
parallel,280000,0.027,true
sequential,290000,0.0739999,true
parallel,290000,0.0320001,true
sequential,300000,0.0799999,true
parallel,300000,0.029,true
sequential,310000,0.0840001,true
parallel,310000,0.0320001,true
sequential,320000,0.0869999,true
parallel,320000,0.0339999,true
sequential,330000,0.0940001,true
parallel,330000,0.0380001,true
sequential,340000,0.0969999,true
parallel,340000,0.033,true
sequential,350000,0.102,true
parallel,350000,0.04,true
sequential,360000,0.105,true
parallel,360000,0.0449998,true
sequential,370000,0.111,true
parallel,370000,0.036,true
sequential,380000,0.117,true
parallel,380000,0.039,true
sequential,390000,0.12,true
parallel,390000,0.0450001,true
sequential,400000,0.124,true
parallel,400000,0.043,true
sequential,410000,0.137,true
parallel,410000,0.046,true
sequential,420000,0.137,true
parallel,420000,0.059,true
sequential,430000,0.145,true
parallel,430000,0.0469999,true
sequential,440000,0.149,true
parallel,440000,0.0509999,true
sequential,450000,0.153,true
parallel,450000,0.0569999,true
sequential,460000,0.162,true
parallel,460000,0.0550001,true
sequential,470000,0.166,true
parallel,470000,0.0569999,true
sequential,480000,0.172,true
parallel,480000,0.053,true
sequential,490000,0.179,true
parallel,490000,0.0670002,true
sequential,500000,0.183,true
parallel,500000,0.0670002,true
sequential,510000,0.19,true
parallel,510000,0.076,true
sequential,520000,0.198,true
parallel,520000,0.0609999,true
sequential,530000,0.203,true
parallel,530000,0.0680001,true
sequential,540000,0.216,true
parallel,540000,0.089,true
sequential,550000,0.219,true
parallel,550000,0.089,true
sequential,560000,0.225,true
parallel,560000,0.0710001,true
sequential,570000,0.235,true
parallel,570000,0.0769999,true
sequential,580000,0.238,true
parallel,580000,0.0739999,true
sequential,590000,0.243,true
parallel,590000,0.086,true
sequential,600000,0.253,true
parallel,600000,0.0940001,true
sequential,610000,0.26,true
parallel,610000,0.0899999,true
sequential,620000,0.271,true
parallel,620000,0.085,true
sequential,630000,0.282,true
parallel,630000,0.106,true
sequential,640000,0.284,true
parallel,640000,0.0869999,true
sequential,650000,0.295,true
parallel,650000,0.095,true
sequential,660000,0.308,true
parallel,660000,0.147,true
sequential,670000,0.317,true
parallel,670000,0.134,true
sequential,680000,0.314,true
parallel,680000,0.108,true
sequential,690000,0.324,true
parallel,690000,0.101,true
sequential,700000,0.332,true
parallel,700000,0.102,true
sequential,710000,0.363,true
parallel,710000,0.112,true
sequential,720000,0.35,true
parallel,720000,0.109,true
sequential,730000,0.356,true
parallel,730000,0.129,true
sequential,740000,0.383,true
parallel,740000,0.12,true
sequential,750000,0.368,true
parallel,750000,0.13,true
sequential,760000,0.378,true
parallel,760000,0.118,true
sequential,770000,0.386,true
parallel,770000,0.128,true
sequential,780000,0.397,true
parallel,780000,0.117,true
sequential,790000,0.405,true
parallel,790000,0.14,true
sequential,800000,0.419,true
parallel,800000,0.145,true
sequential,810000,0.424,true
parallel,810000,0.139,true
sequential,820000,0.433,true
parallel,820000,0.132,true
sequential,830000,0.443,true
parallel,830000,0.143,true
sequential,840000,0.451,true
parallel,840000,0.133,true
sequential,850000,0.46,true
parallel,850000,0.156,true
sequential,860000,0.471,true
parallel,860000,0.148,true
sequential,870000,0.479,true
parallel,870000,0.16,true
sequential,880000,0.491,true
parallel,880000,0.146,true
sequential,890000,0.5,true
parallel,890000,0.163,true
sequential,900000,0.508,true
parallel,900000,0.147,true
sequential,910000,0.524,true
parallel,910000,0.172,true
sequential,920000,0.53,true
parallel,920000,0.176,true
sequential,930000,0.542,true
parallel,930000,0.171,true
sequential,940000,0.555,true
parallel,940000,0.178,true
sequential,950000,0.575,true
parallel,950000,0.165,true
sequential,960000,0.572,true
parallel,960000,0.189,true
sequential,970000,0.582,true
parallel,970000,0.195,true
